Country,PDI,IDV,MAS,UAI,IVR
Argentina,40,47,48,75,62
Australia,26,98,53,41,71
Austria,0,57,70,59,63
Bangladesh,74,16,47,50,20
Belgium,58,81,46,82,57
Brazil,62,37,41,65,59
Bulgaria,63,28,33,74,16
Canada,30,87,44,38,68
Chile,55,20,21,75,68
China,74,16,58,30,24
Colombia,60,8,56,69,83
Costa Rica,25,10,15,75,
Croatia,66,31,33,69,33
Czech Republic,49,61,49,63,29
Denmark,7,80,10,14,70
Ecuador,72,2,55,56,
Egypt,74,37,44,57,4
El Salvador,59,15,33,82,89
Ethiopia,56,24,34,42,46
Estonia,31,63,23,50,16
Finland,23,67,20,49,57
France,61,76,36,75,48
Germany,25,71,58,54,40
Ghana,70,16,39,44,72
Greece,52,34,49,100,50
Guatemala,90,0,30,89,
Hong Kong,61,22,49,20,17
Hungary,37,57,79,71,31
India,70,49,48,30,26
Indonesia,72,9,39,38,38
Iran,50,41,36,49,40
Iraq,74,37,44,57,17
Ireland,18,75,60,25,65
Israel,2,56,40,70,
Italy,41,82,61,64,30
Jamaica,36,38,60,4,
Japan,46,47,85,80,42
Kenya,56,24,34,42,
Kuwait,74,37,44,57,
Latvia,35,75,3,52,13
Lebanon,74,37,44,57,
Libya,74,37,44,57,
Lithuania,33,63,13,54,16
Malaysia,100,23,42,26,57
Malta,48,62,40,84,66
Mexico,75,28,60,71,97
Morocco,63,47,45,57,25
Netherlands,29,87,8,43,68
New Zealand,11,85,50,39,75
Nigeria,70,16,39,44,84
Norway,21,74,2,40,55
Pakistan,47,9,42,59,0
Panama,90,5,37,75,
Peru,56,11,35,75,46
Philippines,89,30,56,34,42
Poland,61,63,56,81,29
Portugal,55,24,24,92,33
Romania,84,28,35,78,20
Russia,88,38,29,83,20
Saudi Arabia,74,37,44,57,52
Serbia,80,22,36,80,28
Sierra Leone,70,16,39,44,
Singapore,67,16,40,0,46
Slovak Rep,100,54,100,41,28
Slovenia,64,24,13,76,48
South Africa,40,69,55,39,63
South Korea,52,14,32,74,29
Spain,49,52,35,75,44
Suriname,79,48,30,80,
Sweden,21,76,0,20,78
Switzerland,24,72,61,48,66
Taiwan,50,12,38,58,49
Tanzania,56,24,34,42,38
Thailand,56,16,27,53,45
Trinidad and Tobago,38,11,50,45,80
Turkey,59,36,38,74,49
United Arab Emirates,74,37,44,57,
United Kingdom,25,97,58,25,69
United States,31,100,54,36,68
Uruguay,53,35,31,88,53
Venezuela,75,7,64,65,100
Vietnam,63,16,33,21,35
Zambia,56,24,34,42,42
